#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
540,1.0800000000000007,-229969.2782702127,-199976.29119958612,248.64400260203283
550,1.1000000000000008,-229839.76298910927,-199823.96987095545,248.83306636308308
560,1.1200000000000008,-229909.29863364052,-199676.42235854687,250.6327012214552
570,1.1400000000000008,-229637.97587973427,-199573.2614915499,249.23862718182139
580,1.1600000000000008,-229580.36406332802,-199251.16355286085,251.43123600475158
590,1.1800000000000008,-229301.02812582802,-199009.25521848968,251.12095850462
600,1.2000000000000008,-229230.90996176552,-198835.55741191172,251.97964113074474
610,1.2200000000000009,-229040.19609457802,-198584.80092415307,252.47739873889395
620,1.2400000000000009,-228760.29082114052,-198426.46928196735,251.46954466240186
630,1.260000000000001,-228873.36943442177,-198212.21777637943,254.1831347005057
640,1.280000000000001,-229089.58574301552,-198025.70406067348,257.5217953338762
650,1.300000000000001,-228686.87138754677,-197812.69476850785,255.9491268249849
660,1.320000000000001,-228348.87627035927,-197472.0058242341,255.97145884371525
670,1.340000000000001,-228577.55986410927,-197405.50280783843,258.4185769012903
680,1.360000000000001,-228487.03974107257,-197218.3308700124,259.2198273413142
690,1.380000000000001,-228172.27655747882,-197057.44881395402,257.94414181572085
700,1.400000000000001,-227879.00116685382,-196662.74943017284,258.78495395486686
710,1.420000000000001,-227877.0116649007,-196410.09344244434,260.86299700521766
720,1.440000000000001,-228006.81269029132,-196204.1498417689,263.64634390829906
730,1.460000000000001,-227585.79459687974,-196055.81283613713,261.3857982367461
740,1.480000000000001,-227857.238444536,-195876.61396508897,265.121658524962
750,1.500000000000001,-227644.71354219224,-195710.88438567962,264.73372195932205
760,1.5200000000000011,-228012.086100786,-195614.50498875207,268.57825875600076
770,1.5400000000000011,-227495.232585161,-195496.76253528026,265.2695995770121
780,1.5600000000000012,-227324.2394210985,-195237.9415713324,265.9976983039513
790,1.5800000000000012,-227148.8390304735,-194937.60808709054,267.0334025631237
800,1.6000000000000012,-227286.49674531724,-194812.02123816696,269.21571877738427
810,1.6200000000000012,-226726.5421554735,-194696.96710552007,265.52746224673547
820,1.6400000000000012,-226795.09342500474,-194520.19878547522,267.56117914613117
830,1.6600000000000013,-227119.65787812974,-194403.30038485688,271.22093769890165
840,1.6800000000000013,-226641.96940156724,-194366.9157816104,267.5624971052157
850,1.7000000000000013,-226647.35289768234,-194255.8696097762,268.52770735894524
