SMILES,pka_value,FractionCSP3,EState_VSA10,MinAbsPartialCharge,HallKierAlpha,MaxEStateIndex,SMR_VSA10,VSA_EState2,VSA_EState8,fr_nitro,fr_nitro_arom,SMR_VSA6,PEOE_VSA2,SMR_VSA5,BCUT2D_LOGPLOW,PEOE_VSA13,NumHeteroatoms,SMR_VSA7,SMR_VSA1,SlogP_VSA10,BCUT2D_CHGLO,BertzCT,BCUT2D_MRHI,SPS,fr_ketone,fr_ketone_Topliss,SlogP_VSA5,fr_benzene,VSA_EState7,TPSA,NumAromaticRings,EState_VSA6,EState_VSA1,NOCount,fr_C_O,fr_nitro_arom_nonortho,MinEStateIndex,VSA_EState3,EState_VSA8
Cc1cccc(C(N)=O)c1,-2.15,0.125,4.794537184071822,0.2482051568363368,-1.31,10.57537037037037,5.907179729351506,10.57537037037037,1.9230555555555555,0,0,0.0,4.794537184071822,6.923737199690624,-2.099752315060241,0.0,2,35.392371257240434,4.794537184071822,0.0,-1.94138939756228,255.1894333808837,5.9234202178238,9.3,0,0,15.921440167465814,1,0.0,43.09,1,12.13273413692322,0.0,2,1,0,-0.371574074074074,0.0,0.0
Cc1cccc(C)[n+]1[O-],1.02,0.2857142857142857,5.20725302477729,0.1894161375636854,-1.05,10.885185185185186,0.0,0.0,3.583333333333333,0,0,0.0,0.0,13.847474399381248,-2.3243587518275137,0.0,2,34.79421021985904,4.7304076419062255,0.0,-2.0043568498778783,199.9061775999341,5.004058489703613,9.555555555555555,0,0,11.387855989696922,0,0.0,26.94,1,25.980208536304467,0.0,2,0,0,0.7453703703703706,10.885185185185186,0.0
Cc1cccc(C)c1N,3.935,0.25,0.0,0.0372936152138843,-0.98,5.681851851851851,5.687386274683562,0.0,4.032407407407407,0,0,5.733667477162185,0.0,13.847474399381248,-1.9088576080871988,0.0,1,29.32600418877882,0.0,5.687386274683562,-2.003247334475554,195.55766205433733,5.515608511891432,9.555555555555555,0,0,11.126902983393991,1,0.0,26.02,1,0.0,0.0,1,0,0,0.914351851851852,0.0,0.0
Cc1cccc(C)c1N(C)C,5.5600000000000005,0.4,0.0,0.0419930787436091,-0.98,2.1574074074074074,5.687386274683562,2.1574074074074074,4.282407407407407,0,0,18.99525369620486,0.0,13.847474399381248,-2.110543835823035,0.0,1,29.32600418877882,0.0,5.687386274683562,-2.1739522181729787,230.7997317859833,5.571021417330254,9.818181818181818,0,0,11.126902983393991,1,0.0,3.24,1,0.0,0.0,1,0,0,1.340277777777778,0.0,51.04182930097093
Cc1cccc(C)n1,6.65,0.2857142857142857,0.0,0.0375360118044125,-0.8500000000000001,4.173611111111111,0.0,4.173611111111111,3.986111111111111,0,0,0.0,4.9839785209472085,13.847474399381248,-1.806870396513153,0.0,1,29.58695719508175,0.0,0.0,-1.8965354194430375,164.24662946459569,5.071310836919307,9.25,0,0,11.387855989696922,0,0.0,12.89,1,0.0,0.0,1,0,0,1.0879629629629632,0.0,4.9839785209472085
Cc1cccc(C=O)c1,-7.06,0.125,4.794537184071822,0.1495579795752377,-1.11,10.158703703703704,6.286160523129555,10.158703703703704,1.9652777777777777,0,0,0.0,4.794537184071822,6.923737199690624,-1.7779569103778594,0.0,1,35.392371257240434,4.794537184071822,0.0,-1.8949325137364632,215.5625495565008,5.743092799223778,9.0,0,0,15.921440167465814,1,0.8541666666666667,17.07,1,6.06636706846161,0.0,1,1,0,0.7453703703703705,0.0,0.0
Cc1cccc(CCO)n1,6.1,0.375,0.0,0.0486050760459442,-0.8900000000000001,8.570580120937263,0.0,4.202916666666667,2.122348828420257,0,0,6.606881964512918,4.9839785209472085,13.344558822616634,-1.9421261479798089,0.0,2,29.58695719508175,5.106527394840706,0.0,-1.962514661116601,210.1674941941729,5.092119553816158,9.8,0,0,11.387855989696922,0,0.6544444444444445,33.120000000000005,1,0.0,0.0,2,0,0,0.1770370370370371,8.570580120937263,4.9839785209472085
Cc1cccc(CN)c1,9.39,0.25,0.0,0.0177707228774828,-0.8200000000000001,5.418703703703704,0.0,0.0,2.7091666666666665,0,0,0.0,0.0,13.4684936056032,-1.947730811467265,0.0,1,35.392371257240434,0.0,0.0,-1.9490854762466208,193.51405299160072,5.210799169440138,9.555555555555555,0,0,11.126902983393991,1,0.0,26.02,1,0.0,0.0,1,0,0,0.6405555555555555,0.0,19.056471336613843
Cc1cccc(CNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,-4.68,0.1428571428571428,20.228636537531145,0.2986958002500351,-2.9600000000000004,11.004980368690685,17.062158824050687,20.38262768137813,2.3592838246409675,2,2,5.316788604006331,20.228636537531145,13.4684936056032,-2.031324601609545,11.374772549367124,7,73.82010900015642,9.846622097635342,17.062158824050687,-2.0740761269969035,700.3685173746051,5.649130494849056,10.142857142857142,0,0,11.126902983393991,2,0.0,98.31,2,0.0,9.846622097635342,7,0,1,-0.6554209183673465,24.61138901924661,5.316788604006331
Cc1cccc(CO)n1,5.43,0.2857142857142857,0.0,0.0852589226703208,-0.8900000000000001,8.599537037037038,0.0,4.041666666666667,1.9313888888888888,0,0,0.0,4.9839785209472085,13.530619164203545,-1.8859393798141348,0.0,2,29.58695719508175,5.106527394840706,0.0,-1.9348967894642817,197.8625685371975,5.080658722806239,9.555555555555555,0,0,11.387855989696922,0,0.0,33.120000000000005,1,6.06636706846161,0.0,2,0,0,0.0294444444444443,8.599537037037038,4.9839785209472085
Cc1cccc(N(C)C)c1,5.268,0.3333333333333333,0.0,0.0363151250405238,-0.98,2.1666666666666665,5.687386274683562,2.1041666666666665,2.1041666666666665,0,0,18.99525369620486,0.0,6.923737199690624,-2.075865662335228,0.0,1,29.82891976554344,0.0,5.687386274683562,-2.114405070276808,215.72318047941275,5.460983686674543,9.5,0,0,5.563451491696996,1,0.0,3.24,1,0.0,0.0,1,0,0,1.263888888888889,0.0,50.18445916974191
Cc1cccc(N(C)N)c1,5.09,0.25,0.0,0.051599283850032,-1.02,5.5159259259259255,5.687386274683562,0.0,2.048611111111111,0,0,12.056584506631722,0.0,6.923737199690624,-2.243022786353017,0.0,2,29.82891976554344,0.0,5.687386274683562,-2.10969389453124,218.2525054923936,5.454153599665679,9.5,0,0,5.563451491696996,1,0.0,29.26,1,5.008912523954532,0.0,2,0,0,1.041666666666667,1.6041666666666663,0.0
Cc1cccc(N)c1,4.704666666666666,0.1428571428571428,0.0,0.0316140183227084,-0.98,5.458611111111111,5.687386274683562,0.0,2.0241666666666664,0,0,5.733667477162185,0.0,6.923737199690624,-1.8209135465224695,0.0,1,29.82891976554344,0.0,5.687386274683562,-1.9061279953477983,164.24662946459569,5.393245217968634,9.125,0,0,5.563451491696996,1,0.0,26.02,1,0.0,0.0,1,0,0,0.8379629629629632,0.0,0.0
Cc1cccc(N)c1-c1c(C)cccc1N,3.7,0.1428571428571428,0.0,0.0396786464331944,-1.96,6.035631141345427,11.374772549367124,0.0,4.106296296296296,0,0,11.46733495432437,0.0,13.847474399381248,-1.9806332637534183,0.0,2,47.52510539416365,0.0,11.374772549367124,-2.1404340705875025,440.25370517390655,5.878129662520008,10.375,0,0,11.126902983393991,2,0.0,52.04,2,0.0,0.0,2,0,0,0.7787037037037039,0.0,25.980208536304467
Cc1cccc(N)c1C,4.706666666666667,0.25,0.0,0.0345878780676958,-0.98,5.620648148148148,5.687386274683562,0.0,4.093611111111111,0,0,5.733667477162185,0.0,13.847474399381248,-1.896445624251093,0.0,1,29.32600418877882,0.0,5.687386274683562,-2.002730803132318,195.55766205433733,5.487407083708165,9.555555555555555,0,0,11.126902983393991,1,0.0,26.02,1,0.0,0.0,1,0,0,0.8842592592592595,0.0,12.990104268152232
